path,kind,size_bytes,sha256
README.md,metadata,1486,569b34ce1718c30e2e577bb41b8fb74463a74491486334bd1668bcb5cb660432
RESULTS_SUMMARY.md,metadata,1871,77012e859b61bae3f833ec243166bd46018236b4cc93ec494be2810f597f6579
commands.log,log,2863,234504f38ff400d15ff01bf8c139ec7f8aab191e5a4abbe55b61f6a9d10e52cf
environment.txt,metadata,1078,43a2ce897550c488d4ff2ea764a2d5617ce2281c0ecb0896374ee26a7af5d202
figures/confusion_abstention_guard.pdf,figure,17957,ddddbd6581a46e08384c6f4d0b2b37a72674b6bac4d84b284a828e9e3efc02b0
figures/confusion_abstention_guard.png,figure,69390,7d7bde35a315b40efa2af95d9e3929de1370a6e43295d75a243fa2dd1fc92c83
figures/confusion_always_abstain.pdf,figure,18330,f48e5c4a87d8b0f3c23c6c0cff9510adc41d6c28777fd7942f78ca22974c1029
figures/confusion_always_abstain.png,figure,67760,606b6febef4497af4f6b727144ac1f1e634214f8431808e751773a0b67afdaef
figures/confusion_always_accept.pdf,figure,17716,cd516183f848abc41188567cd4240afb8a05b40f1ec73287ddce864943143aaa
figures/confusion_always_accept.png,figure,68320,82a478ed68f6907f8a1af2846ec11c2243639603c0a4c8da643cb759033eb76c
figures/confusion_corpus_search.pdf,figure,17663,f43042c94990d2adbeae922df47a414b446123ddd3d723cb25312e07edea53c6
figures/confusion_corpus_search.png,figure,67671,9caa9c99296d3cffb6ce9d51b6728ad79ff478146063c961134377aa95b283b3
figures/confusion_heuristic.pdf,figure,17143,bb96915da529e03aaf3c64e162d7ca3693eee181ae5fb72e09c506db7a98783a
figures/confusion_heuristic.png,figure,64128,e319a20a35c580da2fb266eed1a6a2806f0d3e13c52a7d6073c66286a7cc44e7
figures/confusion_local_mutation.pdf,figure,17215,9cc00bd0f1c68211c7a01ad2794f7c9bb9e8ec5a544f044202f18fb8a9709b4c
figures/confusion_local_mutation.png,figure,67688,475232b2b8350734124679e0bf80cb679636570f4d63f3f74f6483556cffc75f
figures/confusion_verifier_guided_greedy.pdf,figure,17810,f6dd56239c30fc38c3d9325482bc6ad5ee908c0dcf50b5177c3ff1512f4bfdc5
figures/confusion_verifier_guided_greedy.png,figure,70718,d2ebda8e43aebfe9342404f296ac1c5820184d2645623cfa65788459b4152661
figures/confusion_verify_first.pdf,figure,17815,5670d1c6e3c687006dc167aaaf7472d27729263929b69530989be877e8a894cf
figures/confusion_verify_first.png,figure,66862,de083ce8908e8a5c076313d0765c9b5fda565b959ddf6a637efdd7bc1e53852d
figures/confusion_well_engineered_wrapper.pdf,figure,17775,a832bfbabd6730eda70009257ac8fe94c9ec11b5594de11ec49cde6f20c0d439
figures/confusion_well_engineered_wrapper.png,figure,69885,7eee44bfcb8f15529a2b4291ddf187be80c50f2b6055cf8d966a735629937523
figures/metric_rank_shift.pdf,figure,18334,69c1d58a5bd87544f3771b3fa3357ece908f7b930ee9587e579d87ff8c6dbfb8
figures/metric_rank_shift.png,figure,249799,89153d5853b319484a7de124d35e27d4f4606a7227bf7c65218f31608947cd50
figures/per_family_action_accuracy_heatmap.pdf,figure,19486,edb1d2f12e4801ed93b677b0f73ed40ce07177557682fbc1c02e01588babe650
figures/per_family_action_accuracy_heatmap.png,figure,195263,9017ca80cbbda0aeba49634692e8bf0387fbd70a2f34cc21ca347cf68b95d404
figures/protocol_ladder_action_accuracy.pdf,figure,14621,20a1941017260c20fdf224c8aac7f5887a40f88afc41669b74255e8860e5316a
figures/protocol_ladder_action_accuracy.png,figure,91237,5ee21ea97d2d157b7556f2ed830b9fe7a4a1ce1107880bf4f6d93fe1653c85e0
figures/protocol_ladder_verify_calls.pdf,figure,15067,410ef3dc827c9484cef0a2b39c4e2f438920c75624c13eab879a589ab138f650
figures/protocol_ladder_verify_calls.png,figure,91259,d8afb8d35ba4670ece24474d0ff07b9d6c0a96ac83bca21141e294928fe4f3e3
figures/wrapper_ablation_action_accuracy.pdf,figure,13571,92956b098baa56f3dcee826425c20d13004edd8ed9fc4303864f4afe57b9e8cc
figures/wrapper_ablation_action_accuracy.png,figure,119785,d373c915123586b6d57d51250f79f08f681ce1a5e6f2a550dfe66e42cb9622af
figures/wrapper_ablation_budget_curve.pdf,figure,11790,81ff5c025b1a5461000340fdc3ad9adc0e653695b73abc64ead2679dbfcbccea
figures/wrapper_ablation_budget_curve.png,figure,38938,04e837a1d10c5daddd7ff36c2506fe9afbb775395aee159edecdd28d0d0d14ff
notes/external_diagnostic_snapshot.md,note,231,33dba014649340274d93c9187613c82d809928b5af1a7a0ab8b419a5942ae7f8
notes/external_diagnostic_snapshot_skipped.md,note,231,33dba014649340274d93c9187613c82d809928b5af1a7a0ab8b419a5942ae7f8
notes/metric_sanity_interpretation.md,note,1057,24524cccca335b59f1a56da91e232542ea0905fe711c6d32d632b60d2bc3f3f6
notes/paper_insertion_memo.md,note,2003,5b78bfcf5bf8d8af9a69b71996c49188d99daedede9205b35f3f77b3d80deb75
notes/protocol_ladder_interpretation.md,note,707,016c88227aa57ab1fb4f707660f8425a9b391a8530b42db7ef9c23c0ee5053de
notes/wrapper_ablation_interpretation.md,note,1036,9159e6ab86403af77f1612aecfc028ede405d03268ac1878549da9d72c60ad05
summaries/external_snapshot_subset.json,summary,3213,10c7d0d9b13f3c1b60abe01189d7bcaa0773ff57e5ce92ea23c6f08843419692
summaries/normalized_run_metrics.csv,summary,11682,641676cc99795ac57e2d3c549fbf868e31f0c06b468816a9667f1ea3eefb1cd4
summaries/normalized_task_results.jsonl,summary,3803041,5773ede4a602e1e3125a6b13bbedec67ba79d037436be8c7672564106863f566
tables/action_collapse_summary.csv,table,728,f2a8d008c1a0bd659f2e6aa7e619ba7d00165652b5703327e3cc6f81c13938c9
tables/action_collapse_summary.md,table,1002,8d008841b31b21a67adf797ac24712a10a108745985018a677d880f43aa013a2
tables/artifact_integrity_gates_v2.csv,table,403,5f79ec10cd633fb0c1bc2385b54a23a0c9f30689cc697bbd1f45f45d093a3a1e
tables/artifact_integrity_gates_v2.md,table,510,3238cd4e3dfdab2c29acf84bbfd526ebe84f7e2cc53c51eb3ab0acda0f2c25a9
tables/bootstrap_ci_test_bundle_level.csv,table,5837,7740a8e6dcd88b1efea89305c070d0ad24f7bb8cb587a23d1e127243563f3a0c
tables/bootstrap_ci_test_task_level.csv,table,4014,a6f82aba3f13a39f44ccb2e943f0f5cb43415af63f166764b03bbe8d63e24e9b
tables/confusion_abstention_guard_counts.csv,table,103,b2dbbb26a1a7bc075811291108fd5a73522ed9b7d654cd363dc567c9022160a3
tables/confusion_abstention_guard_row_normalized.csv,table,198,64e705c157b15d771845861e3768055a4f0a4781b986f1155cd2aa8ad8e87b7d
tables/confusion_always_abstain_counts.csv,table,100,345e006d16e7d17ef99181028cac2c93ca3aa2b842f47066db0d2684c60a13ff
